/Parameters/Arch/reduct_ratio_in, 1.3, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.3, x=1, y=0.16683334112167358
/Parameters/Arch/reduct_ratio_in, 1.3, x=2, y=0.16765806078910828
/Parameters/Arch/reduct_ratio_in, 1.325, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.325, x=1, y=0.1665000021457672
/Parameters/Arch/reduct_ratio_in, 1.325, x=2, y=0.16574224829673767
/Parameters/Arch/reduct_ratio_in, 1.35, x=0, y=0.16666666666666666
/Parameters/Arch/reduct_ratio_in, 1.35, x=1, y=0.1665000021457672
/Parameters/Arch/reduct_ratio_in, 1.35, x=2, y=0.16553661227226257
/Parameters/Arch/residual_main, False, x=0, y=0.5
/Parameters/Arch/residual_main, False, x=1, y=0.49950000643730164
/Parameters/Arch/residual_main, False, x=2, y=0.49955981969833374
/Parameters/Arch/residual_main, True, x=0, y=0.5
/Parameters/Arch/residual_main, True, x=1, y=0.5005000233650208
/Parameters/Arch/residual_main, True, x=2, y=0.500440239906311
/Parameters/Arch/scale_in, 0.4, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.4, x=1, y=0.33355551958084106
/Parameters/Arch/scale_in, 0.4, x=2, y=0.3332153856754303
/Parameters/Arch/scale_in, 0.6, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.6, x=1, y=0.33355551958084106
/Parameters/Arch/scale_in, 0.6, x=2, y=0.33455273509025574
/Parameters/Arch/scale_in, 0.8, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.8, x=1, y=0.33288905024528503
/Parameters/Arch/scale_in, 0.8, x=2, y=0.33223190903663635
/Parameters/Arch/shrinkage_main, 1, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 1, x=1, y=0.24975000321865082
/Parameters/Arch/shrinkage_main, 1, x=2, y=0.24922752380371094
/Parameters/Arch/shrinkage_main, 2, x=0, y=0.25
/Parameters/Arch/shrinkage_main, 2, x=1, y=0.2502500116825104
