/Parameters/Arch/residual_main, True, x=2, y=0.5001344680786133
/Parameters/Arch/scale_in, 0.4, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.4, x=1, y=0.333111047744751
/Parameters/Arch/scale_in, 0.4, x=2, y=0.33246251940727234
/Parameters/Arch/scale_in, 0.6, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.6, x=1, y=0.33377793431282043
/Parameters/Arch/scale_in, 0.6, x=2, y=0.33508288860321045
/Parameters/Arch/scale_in, 0.8, x=0, y=0.3333333333333333
/Parameters/Arch/scale_in, 0.8, x=1, y=0.333111047744751
/Parameters/Arch/scale_in, 0.8, x=2, y=0.3324545919895172
/Parameters/Arch/shrinkage_main, 2, x=0, y=0.3333333333333333
/Parameters/Arch/shrinkage_main, 2, x=1, y=0.3335554897785187
/Parameters/Arch/shrinkage_main, 2, x=2, y=0.3344023525714874
/Parameters/Arch/shrinkage_main, 4, x=0, y=0.3333333333333333
/Parameters/Arch/shrinkage_main, 4, x=1, y=0.33288902044296265
/Parameters/Arch/shrinkage_main, 4, x=2, y=0.332472026348114
/Parameters/Arch/shrinkage_main, 6, x=0, y=0.3333333333333333
/Parameters/Arch/shrinkage_main, 6, x=1, y=0.3335554897785187
/Parameters/Arch/shrinkage_main, 6, x=2, y=0.33312559127807617
/Parameters/Arch/stride_in, 1, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 1, x=1, y=0.333111047744751
/Parameters/Arch/stride_in, 1, x=2, y=0.33243924379348755
/Parameters/Arch/stride_in, 2, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 2, x=1, y=0.333111047744751
/Parameters/Arch/stride_in, 2, x=2, y=0.33274775743484497
/Parameters/Arch/stride_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/stride_in, 3, x=1, y=0.33377793431282043
/Parameters/Arch/stride_in, 3, x=2, y=0.33481305837631226
/Parameters/Arch/temp_win_in, 3, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 3, x=1, y=0.33377793431282043
/Parameters/Arch/temp_win_in, 3, x=2, y=0.33492809534072876
/Parameters/Arch/temp_win_in, 5, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 5, x=1, y=0.333111047744751
/Parameters/Arch/temp_win_in, 5, x=2, y=0.3325292468070984
/Parameters/Arch/temp_win_in, 7, x=0, y=0.3333333333333333
/Parameters/Arch/temp_win_in, 7, x=1, y=0.333111047744751
/Parameters/Arch/temp_win_in, 7, x=2, y=0.33254268765449524
/Parameters/Hyper/batch_size, 16, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 16, x=1, y=0.333111047744751
/Parameters/Hyper/batch_size, 16, x=2, y=0.33249160647392273
/Parameters/Hyper/batch_size, 24, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 24, x=1, y=0.333111047744751
/Parameters/Hyper/batch_size, 24, x=2, y=0.33264002203941345
/Parameters/Hyper/batch_size, 8, x=0, y=0.3333333333333333
/Parameters/Hyper/batch_size, 8, x=1, y=0.33377793431282043
/Parameters/Hyper/batch_size, 8, x=2, y=0.3348684310913086
/Parameters/Hyper/lr, 0.01, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.01, x=1, y=0.33355551958084106
/Parameters/Hyper/lr, 0.01, x=2, y=0.3342280983924866
/Parameters/Hyper/lr, 0.05, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.05, x=1, y=0.33355551958084106
/Parameters/Hyper/lr, 0.05, x=2, y=0.3340359926223755
/Parameters/Hyper/lr, 0.1, x=0, y=0.3333333333333333
/Parameters/Hyper/lr, 0.1, x=1, y=0.33288905024528503
/Parameters/Hyper/lr, 0.1, x=2, y=0.33173587918281555
/Parameters/Hyper/momentum, 0.5, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.5, x=1, y=0.33355551958084106
/Parameters/Hyper/momentum, 0.5, x=2, y=0.3341379165649414
/Parameters/Hyper/momentum, 0.9, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.9, x=1, y=0.33355551958084106
/Parameters/Hyper/momentum, 0.9, x=2, y=0.3340495526790619
/Parameters/Hyper/momentum, 0.99, x=0, y=0.3333333333333333
/Parameters/Hyper/momentum, 0.99, x=1, y=0.33288905024528503
/Parameters/Hyper/momentum, 0.99, x=2, y=0.3318125307559967
/Parameters/Hyper/optimizers, Adam, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, Adam, x=1, y=0.33355551958084106
/Parameters/Hyper/optimizers, Adam, x=2, y=0.333151251077652
/Parameters/Hyper/optimizers, AdamW, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, AdamW, x=1, y=0.33355551958084106
/Parameters/Hyper/optimizers, AdamW, x=2, y=0.334572434425354
/Parameters/Hyper/optimizers, SGD, x=0, y=0.3333333333333333
/Parameters/Hyper/optimizers, SGD, x=1, y=0.33288905024528503
/Parameters/Hyper/optimizers, SGD, x=2, y=0.33227628469467163
/Parameters/Hyper/weight_decay, 0.0, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.0, x=1, y=0.2502500116825104
/Parameters/Hyper/weight_decay, 0.0, x=2, y=0.25149014592170715
/Parameters/Hyper/weight_decay, 0.0001, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.0001, x=1, y=0.2502500116825104
/Parameters/Hyper/weight_decay, 0.0001, x=2, y=0.25006014108657837
/Parameters/Hyper/weight_decay, 0.001, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.001, x=1, y=0.24975000321865082
/Parameters/Hyper/weight_decay, 0.001, x=2, y=0.2491636723279953
/Parameters/Hyper/weight_decay, 0.01, x=0, y=0.25
/Parameters/Hyper/weight_decay, 0.01, x=1, y=0.24975000321865082
/Parameters/Hyper/weight_decay, 0.01, x=2, y=0.24928605556488037
