10,"[0, 2, 3, 3, 1, 1, 0, 0, 1, 2, 0, 4, 3, 2, 1, 1, 0, 0]","[1, 1, 2, 0, 1]","{'acc_top1': 0.406, 'acc_top5': 0.815}"
13,"[3, 1, 3, 1, 0, 1, 0, 1, 1, 2, 1, 3, 2, 3, 2, 3, 0, 0]","[1, 1, 0, 0, 2]","{'acc_top1': 0.781, 'acc_top5': 0.964}"
14,"[0, 0, 4, 2, 2, 0, 0, 2, 0, 1, 2, 1, 1, 3, 0, 3, 0, 0]","[0, 0, 2, 0, 0]","{'acc_top1': 0.652, 'acc_top5': 0.922}"
15,"[2, 0, 2, 5, 3, 0, 1, 1, 2, 1, 2, 2, 1, 0, 2, 3, 0, 0]","[1, 1, 2, 1, 2]","{'acc_top1': 0.325, 'acc_top5': 0.71}"
16,"[1, 2, 2, 5, 3, 1, 0, 1, 1, 1, 1, 3, 2, 2, 2, 3, 0, 1]","[2, 0, 3, 0, 0]","{'acc_top1': 0.804, 'acc_top5': 0.966}"
17,"[2, 2, 4, 3, 2, 0, 1, 0, 2, 1, 2, 2, 1, 2, 2, 0, 0, 0]","[1, 0, 0, 0, 1]","{'acc_top1': 0.833, 'acc_top5': 0.972}"
18,"[0, 3, 2, 1, 1, 0, 1, 2, 0, 1, 1, 3, 0, 3, 0, 1, 0, 0]","[2, 1, 3, 0, 1]","{'acc_top1': 0.798, 'acc_top5': 0.967}"
19,"[0, 0, 3, 5, 2, 0, 1, 2, 1, 1, 0, 4, 0, 0, 1, 0, 1, 0]","[2, 0, 1, 0, 1]","{'acc_top1': 0.495, 'acc_top5': 0.859}"
1000,"[0, 2, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 0, 2, 1, 0, 0]","[1, 0, 2, 0, 1]","{'acc_top1': 0.883, 'acc_top5': 0.981}"
20,"[2, 2, 0, 3, 0, 0, 0, 1, 1, 2, 0, 4, 2, 3, 2, 2, 0, 0]","[0, 1, 1, 1, 1]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
21,"[0, 2, 1, 3, 3, 1, 0, 0, 2, 0, 2, 5, 1, 0, 0, 3, 0, 0]","[2, 1, 3, 1, 2]","{'acc_top1': 0.804, 'acc_top5': 0.969}"
22,"[3, 3, 4, 0, 1, 0, 0, 1, 1, 1, 0, 1, 2, 1, 2, 1, 0, 0]","[2, 1, 1, 1, 2]","{'acc_top1': 0.052, 'acc_top5': 0.149}"
23,"[3, 3, 1, 3, 2, 0, 1, 2, 0, 2, 1, 1, 1, 0, 0, 3, 0, 0]","[1, 1, 1, 1, 1]","{'acc_top1': 0.048, 'acc_top5': 0.219}"
24,"[3, 1, 4, 3, 0, 1, 1, 1, 2, 2, 0, 5, 2, 1, 0, 1, 0, 1]","[1, 2, 0, 0, 2]","{'acc_top1': 0.017, 'acc_top5': 0.083}"
25,"[0, 0, 2, 3, 2, 0, 0, 1, 0, 1, 2, 2, 1, 0, 0, 1, 1, 1]","[2, 2, 1, 0, 2]","{'acc_top1': 0.027, 'acc_top5': 0.11}"
26,"[0, 3, 1, 4, 0, 0, 1, 2, 1, 1, 1, 3, 3, 0, 2, 0, 1, 0]","[2, 1, 0, 1, 2]","{'acc_top1': 0.843, 'acc_top5': 0.976}"
